group,acousticness,danceability,energy,instrumentalness,liveness,mode,speechiness,valence,duration_norm,loudness_norm,tempo_norm
Argentina,0.185044199,0.717731318,0.742858312,0.001178178,0.170227887,0.569169919,0.095549157,0.648843992,0.334470411,0.84517011,0.405768854
Australia,0.188462685,0.678690725,0.644235105,0.01055019,0.152337612,0.586621272,0.098935064,0.492819929,0.326821452,0.818560579,0.384348775
Austria,0.178404673,0.68041844,0.683359071,0.008363087,0.152127689,0.549229791,0.102475741,0.522043344,0.315109705,0.824377155,0.387839992
Belgium,0.199609879,0.691701718,0.67190481,0.012725925,0.148189053,0.530789306,0.103501667,0.511175188,0.316388108,0.822104175,0.386950723
Bolivia: Plurinational State of,0.178870288,0.722794441,0.744666823,0.00120096,0.165952629,0.584576819,0.09263873,0.633461865,0.33271397,0.846540479,0.385751737
Brazil,0.272081712,0.69002749,0.710656621,0.008622619,0.26423165,0.587393567,0.102587343,0.608722419,0.288933249,0.844713433,0.43154042
Canada,0.181230837,0.705113498,0.62313859,0.006970666,0.155332524,0.577590893,0.125018186,0.474616985,0.328058011,0.811454222,0.400878692
Chile,0.195174874,0.719786494,0.738435859,0.001006849,0.168303049,0.570465025,0.09734295,0.628505275,0.344771399,0.844095802,0.402203171
Colombia,0.196103535,0.713968401,0.729990756,0.001156731,0.168075196,0.601928377,0.093567071,0.625584566,0.339204168,0.841148828,0.390148282
Costa Rica,0.196479505,0.70653089,0.705644509,0.001846882,0.162548619,0.577639921,0.09623923,0.585431545,0.340995052,0.837316502,0.393824226
Czech Republic,0.176277274,0.665019056,0.668014418,0.007799458,0.157840649,0.561034886,0.090377381,0.498728835,0.319503224,0.823326026,0.390185869
Denmark,0.222378487,0.69555249,0.642416994,0.002855604,0.14967626,0.486066132,0.097712343,0.530166879,0.318938856,0.818108246,0.381949665
Dominican Republic,0.227206148,0.732465606,0.700627091,0.003520238,0.17170591,0.547682335,0.107347633,0.573272067,0.355887191,0.83457995,0.413682324
Ecuador,0.19522199,0.719317877,0.738800759,0.001330514,0.164969226,0.593830431,0.092196996,0.631149117,0.3361274,0.843632235,0.387256525
El Salvador,0.191636603,0.71936039,0.71770648,0.001882472,0.163603198,0.565609923,0.094205047,0.59335501,0.343925357,0.840567624,0.399301242
