,Unnamed: 0,artist_name,track_id,track_name,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,popularity,simple_track_name,simple_track_and_artist,artist_popularity,Afghanistan,Albania,Algeria,American Samoa,Andorra,Angola,Anguilla,Antarctica,Antigua & Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia,Bosnia & Herzegovina,Botswana,Bouvet Island,Brazil,British Indian Ocean Territory,British Virgin Islands,Brunei,Bulgaria,Burkina Faso,Burundi,Cambodia,Cameroon,Canada,Cape Verde,Caribbean Netherlands,Cayman Islands,Central African Republic,Chad,Chile,China,Christmas Island,Cocos (Keeling) Islands,Colombia,Comoros,Congo - Brazzaville,Congo - Kinshasa,Cook Islands,Costa Rica,Croatia,Cuba,Curaçao,Cyprus,Czechia,Côte d’Ivoire,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Ethiopia,Falkland Islands (Islas Malvinas),Faroe Islands,Fiji,Finland,France,French Guiana,French Polynesia,French Southern Territories,Gabon,Gambia,Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Grenada,Guadeloupe,Guam,Guatemala,Guernsey,Guinea,Guinea-Bissau,Guyana,Haiti,Heard & McDonald Islands,Honduras,Hong Kong,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Isle of Man,Israel,Italy,Jamaica,Japan,Jersey,Jordan,Kazakhstan,Kenya,Kiribati,Kosovo,Kuwait,Kyrgyzstan,Laos,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,Macau,Macedonia (FYROM),Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Martinique,Mauritania,Mauritius,Mayotte,Mexico,Micronesia,Moldova,Monaco,Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Myanmar (Burma),Namibia,Nauru,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,Niue,Norfolk Island,North Korea,Northern Mariana Islands,Norway,Oman,Pakistan,Palau,Palestine,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Pitcairn Islands,Poland,Portugal,Puerto Rico,Qatar,Romania,Russia,Rwanda,Réunion,Samoa,San Marino,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Sint Maarten,Slovakia,Slovenia,Solomon Islands,Somalia,South Africa,South Georgia & South Sandwich Islands,South Korea,South Sudan,Spain,Sri Lanka,St. Barthélemy,St. Helena,St. Kitts & Nevis,St. Lucia,St. Martin,St. Pierre & Miquelon,St. Vincent & Grenadines,Sudan,Suriname,Svalbard & Jan Mayen,Swaziland,Sweden,Switzerland,Syria,São Tomé & Príncipe,Taiwan,Tajikistan,Tanzania,Thailand,Timor-Leste,Togo,Tokelau,Tonga,Trinidad & Tobago,Tunisia,Turkey,Turkmenistan,Turks & Caicos Islands,Tuvalu,U.S. Outlying Islands,U.S. Virgin Islands,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,Uruguay,Uzbekistan,Vanuatu,Vatican City,Venezuela,Vietnam,Wallis & Futuna,Western Sahara,Yemen,Zambia,Zimbabwe,Åland Islands,date_and_views
0,61700,Awon,62fddSET1hhC3mYbLLYi5T,How I Feel,0.08199999999999999,0.7490000000000001,170233,0.6,0.000113,8,0.726,-8.209,1,0.159,86.001,4,0.746,32,How I Feel,How I Feel Awon,46.0,0,0,0,0,0,0,0,0,0,3,0,0,33,17,0,0,0,5,0,0,21,0,0,0,0,0,0,0,0,3,0,0,0,14,0,0,5,0,30,0,0,0,0,0,3,0,0,0,3,0,0,0,0,8,21,0,0,0,12,0,19,0,0,0,0,3,0,0,0,0,0,0,0,0,17,12,0,0,0,0,0,0,14,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,3,19,0,3,3,0,1,44,0,14,8,71,1,0,10,0,46,0,0,10,0,0,0,10,0,0,0,0,25,0,0,0,0,0,14,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,8,0,0,0,0,12,23,0,41,0,0,48,0,0,0,0,19,0,5,0,0,0,0,0,3,23,0,8,17,0,12,14,1,0,0,0,0,7,0,16,0,0,14,0,16,28,0,0,46,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,19,17,0,0,1,0,0,1,0,0,0,0,71,12,3,0,0,0,0,0,0,1,14,39,51,0,0,0,0,0,1,0,0,0,0,100,0,"(3153, Mar 22, 2018)"
1,61701,B.A.P,2yC7iLcmf9M4q5aeyGoKIn,Diamond 4 Ya,0.0686,0.718,209982,0.7959999999999999,0.0,11,0.20600000000000002,-6.023,1,0.12,106.95,4,0.759,22,Diamond 4 Ya,Diamond 4 Ya B.A.P,53.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(240715, Mar 7, 2017)"
2,61702,B.A.P,61Y1eo4quL7nCJxH0b0asV,Hands Up,0.0387,0.604,212510,0.855,0.0,7,0.5579999999999999,-3.0380000000000003,0,0.033,100.995,4,0.257,24,Hands Up,Hands Up B.A.P,53.0,0,0,0,0,0,0,0,0,0,5,28,0,46,51,0,0,0,22,0,12,35,0,0,0,0,0,0,0,0,4,0,0,0,21,0,0,8,0,33,0,0,0,0,0,7,0,0,0,4,0,0,0,0,0,27,0,0,0,36,0,39,0,0,0,9,4,0,0,0,0,0,0,0,0,35,16,0,0,0,0,0,21,44,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,20,56,0,4,14,0,0,45,0,20,100,52,10,0,0,12,27,0,0,0,17,0,35,12,0,0,0,0,45,0,0,0,0,0,23,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,6,0,0,0,0,0,30,0,66,0,0,0,0,0,0,0,28,0,6,0,0,0,0,0,11,32,0,42,19,0,0,21,13,0,0,0,0,7,0,15,0,0,26,0,58,50,0,0,36,0,9,0,17,0,0,0,0,0,0,0,0,0,0,0,0,69,38,0,0,16,0,0,4,0,0,0,0,44,0,10,0,0,0,0,0,0,15,17,47,38,0,0,0,0,5,3,0,0,0,0,0,0,"(5348430, Dec 13, 2017)"
3,61703,MorganJ,6gEoIIbtvYRqVQc04L4N4Q,Rush,0.00267,0.44799999999999995,185600,0.8079999999999999,0.0,5,0.14,-4.149,0,0.0329,149.995,4,0.204,29,Rush,Rush MorganJ,43.0,0,0,5,0,0,0,0,0,0,11,0,0,31,32,0,0,0,7,0,0,29,0,0,0,0,14,99,0,0,12,0,0,0,19,0,0,10,0,43,0,0,0,0,0,16,0,0,0,9,0,0,0,0,16,72,0,0,0,23,0,33,0,0,9,9,4,19,0,0,0,0,0,0,0,31,24,0,0,0,0,0,18,29,0,0,17,0,0,0,0,14,0,0,0,0,0,0,14,12,30,0,8,18,0,2,38,0,11,19,40,6,0,0,3,20,0,0,0,0,0,0,0,0,0,0,0,27,0,0,30,0,0,15,0,0,0,0,0,0,0,0,15,0,0,0,0,75,0,6,0,0,0,0,13,32,0,36,0,0,43,0,0,0,0,45,0,9,0,0,18,0,0,10,22,0,17,20,0,0,17,6,0,0,0,0,4,0,100,0,0,23,0,23,32,0,0,43,0,4,0,15,0,0,0,0,0,0,0,0,0,0,0,0,30,25,0,0,6,0,0,4,0,0,0,0,38,0,4,0,0,0,0,0,0,6,12,31,45,12,0,0,0,14,4,0,0,0,0,0,0,"(45464, Apr 13, 2018)"
4,61704,Los Panchos,03aaXvMaQSqOBXclqYhCl2,Nunca Jamás,0.879,0.759,164232,0.52,0.00486,3,0.155,-9.581,1,0.0425,106.29299999999999,4,0.58,11,Nunca Jamás,Nunca Jamás Los Panchos,60.0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,24,0,0,0,0,0,0,0,"(25057, May 24, 2013)"
5,61705,Cellars,5XoVeB9U2MMrtSQSgujnBr,Never Too Much,0.0291,0.747,258500,0.564,0.0152,7,0.0864,-8.392000000000001,1,0.0467,112.053,4,0.39799999999999996,12,Never Too Much,Never Too Much Cellars,13.0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,51,0,0,9,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,33,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,55,0,0,0,0,0,0,0,0,0,0,0,0,"(742, Apr 22, 2018)"
6,61706,The Franklin Electric,2nKnZyt7iJ2fEOXYP0Qirm,Are We Together Now,0.0377,0.484,216373,0.6759999999999999,0.000654,4,0.349,-7.01,0,0.0309,139.97,4,0.638,31,Are We Together Now,Are We Together Now The Franklin Electric,37.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,62,0,0,0,0,0,0,0,0,0,0,0,0,"(29327, Mar 30, 2018)"
7,61707,Kalazh44,3NkVlHHVs3C9z8fl9yF9WN,Kokayn,0.369,0.802,225469,0.659,0.0,10,0.209,-7.444,0,0.262,144.04,4,0.6659999999999999,44,Kokayn,Kokayn Kalazh44,56.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(932146, Mar 22, 2018)"
8,61708,Young Roddy,6VwZNfWAYPJxibBSpMEUbA,For Them Days,0.00944,0.552,320120,0.7909999999999999,8.900000000000001e-06,7,0.324,-7.17,1,0.335,140.056,4,0.62,20,For Them Days,For Them Days Young Roddy,50.0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,100,0,0,0,0,0,0,0,0,0,0,0,0,"(53775, Apr 26, 2018)"
9,61709,Chris Capell,2VzzGx0g8kdx2GeaT6hcqZ,Yo Tengo un Reguardo,0.0857,0.8740000000000001,240144,0.619,0.0008640000000000001,10,0.0811,-9.642000000000001,0,0.16399999999999998,105.01700000000001,4,0.588,27,Yo Tengo un Reguardo,Yo Tengo un Reguardo Chris Capell,20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(746248, Jul 5, 2017)"
