,Unnamed: 0,artist_name,track_id,track_name,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,popularity,simple_track_name,simple_track_and_artist,artist_popularity,Afghanistan,Albania,Algeria,American Samoa,Andorra,Angola,Anguilla,Antarctica,Antigua & Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia,Bosnia & Herzegovina,Botswana,Bouvet Island,Brazil,British Indian Ocean Territory,British Virgin Islands,Brunei,Bulgaria,Burkina Faso,Burundi,Cambodia,Cameroon,Canada,Cape Verde,Caribbean Netherlands,Cayman Islands,Central African Republic,Chad,Chile,China,Christmas Island,Cocos (Keeling) Islands,Colombia,Comoros,Congo - Brazzaville,Congo - Kinshasa,Cook Islands,Costa Rica,Croatia,Cuba,Curaçao,Cyprus,Czechia,Côte d’Ivoire,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Ethiopia,Falkland Islands (Islas Malvinas),Faroe Islands,Fiji,Finland,France,French Guiana,French Polynesia,French Southern Territories,Gabon,Gambia,Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Grenada,Guadeloupe,Guam,Guatemala,Guernsey,Guinea,Guinea-Bissau,Guyana,Haiti,Heard & McDonald Islands,Honduras,Hong Kong,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Isle of Man,Israel,Italy,Jamaica,Japan,Jersey,Jordan,Kazakhstan,Kenya,Kiribati,Kosovo,Kuwait,Kyrgyzstan,Laos,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,Macau,Macedonia (FYROM),Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Martinique,Mauritania,Mauritius,Mayotte,Mexico,Micronesia,Moldova,Monaco,Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Myanmar (Burma),Namibia,Nauru,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,Niue,Norfolk Island,North Korea,Northern Mariana Islands,Norway,Oman,Pakistan,Palau,Palestine,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Pitcairn Islands,Poland,Portugal,Puerto Rico,Qatar,Romania,Russia,Rwanda,Réunion,Samoa,San Marino,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Sint Maarten,Slovakia,Slovenia,Solomon Islands,Somalia,South Africa,South Georgia & South Sandwich Islands,South Korea,South Sudan,Spain,Sri Lanka,St. Barthélemy,St. Helena,St. Kitts & Nevis,St. Lucia,St. Martin,St. Pierre & Miquelon,St. Vincent & Grenadines,Sudan,Suriname,Svalbard & Jan Mayen,Swaziland,Sweden,Switzerland,Syria,São Tomé & Príncipe,Taiwan,Tajikistan,Tanzania,Thailand,Timor-Leste,Togo,Tokelau,Tonga,Trinidad & Tobago,Tunisia,Turkey,Turkmenistan,Turks & Caicos Islands,Tuvalu,U.S. Outlying Islands,U.S. Virgin Islands,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,Uruguay,Uzbekistan,Vanuatu,Vatican City,Venezuela,Vietnam,Wallis & Futuna,Western Sahara,Yemen,Zambia,Zimbabwe,Åland Islands,date_and_views
0,10000,Moira Dela Torre,5hyhR9TYBcSnmpSEl455eK,We & Us,0.767,0.7559999999999999,258267,0.392,1.4000000000000001e-05,8,0.10400000000000001,-8.513,1,0.0339,104.85600000000001,4,0.154,54,We & Us,We & Us Moira Dela Torre,73.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,14,0,0,0,0,0,0,0,0,0,0,0,0,"('2119901634', 'Aug 2, 2016')"
1,10001,Tchami,4uZpdca4FY9a05KCBQQ4re,No Redemption Intro,0.272,0.212,110776,0.29,0.914,11,0.0951,-13.26,0,0.037000000000000005,68.032,4,0.0374,27,No Redemption Intro,No Redemption Intro Tchami,62.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"('23071', 'Apr 3, 2018')"
2,10002,Hijos De Leyva,44CQQ1MUZrCPAO7IfszYh3,No Puedo Olvidarla (En Vivo),0.0759,0.545,180213,0.406,0.0,9,0.0724,-9.729,1,0.0292,95.27600000000001,4,0.745,26,No Puedo Olvidarla ,No Puedo Olvidarla  Hijos De Leyva,54.0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,32,0,0,0,0,0,0,0,"('25507', 'Sep 10, 2018')"
3,10003,Henry Green,7xZTRF8rfFpSTEPEBE56wR,Aiir,0.7559999999999999,0.436,194893,0.4320000000000001,0.251,7,0.0924,-12.921,0,0.0389,113.559,4,0.0733,37,Aiir,Aiir Henry Green,56.0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,96,0,0,0,0,0,55,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,26,53,0,0,0,0,0,35,0,0,0,0,0,0,"('5432', 'Mar 29, 2018')"
4,10004,Vitamin String Quartet,6Xh8D0b6Z9snHXJWTc2WBL,Issues,0.9590000000000001,0.369,178453,0.0821,0.56,7,0.10800000000000001,-15.605,1,0.0643,85.816,3,0.613,37,Issues,Issues Vitamin String Quartet,62.0,0,0,4,0,0,0,0,0,0,11,0,0,48,28,0,0,0,10,0,0,31,0,0,0,0,0,0,0,0,8,0,0,0,20,0,0,0,0,54,0,0,0,0,0,15,0,0,0,11,0,0,0,0,17,27,0,0,0,22,0,38,0,0,12,8,5,0,0,0,0,0,0,0,0,24,24,0,0,0,0,0,0,21,0,0,24,0,0,0,0,14,0,0,0,0,0,0,0,0,20,0,14,88,0,0,62,0,14,20,100,4,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,24,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,8,0,0,0,0,17,42,0,54,0,0,52,0,0,0,0,48,0,14,0,0,0,0,0,8,31,0,45,40,32,0,38,1,0,0,0,0,5,0,15,0,0,35,0,28,54,0,0,60,0,2,0,100,0,0,0,0,0,0,0,0,0,0,0,0,27,25,0,0,0,0,0,2,0,0,0,0,97,0,4,0,0,0,0,0,0,2,22,58,84,0,0,0,0,21,1,0,0,0,0,0,0,"('1270', 'Dec 3, 2017')"
5,10005,Pop Evil,3sCuOaaesnRkIKMlEZLtBw,Ex Machina,1.4800000000000002e-05,0.44299999999999995,250103,0.973,0.107,6,0.0469,-3.5189999999999997,1,0.141,179.03,4,0.594,40,Ex Machina,Ex Machina Pop Evil,62.0,0,0,14,0,0,0,0,0,0,18,0,0,74,50,12,0,0,16,0,22,46,0,0,0,0,30,28,0,0,18,0,0,0,32,0,0,0,0,66,0,0,0,0,0,32,0,0,0,24,0,0,0,0,18,68,0,0,48,84,0,54,0,0,16,14,22,0,0,0,0,0,0,0,0,56,40,0,0,0,0,0,0,46,0,0,100,0,0,0,0,18,0,0,0,0,0,0,0,26,66,0,10,12,0,6,76,0,16,40,0,6,0,12,4,0,0,0,12,0,0,96,12,0,0,0,0,52,0,0,0,0,0,10,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,20,0,0,0,0,12,52,0,86,0,0,0,0,0,0,0,64,0,10,0,0,24,0,0,18,16,0,40,42,54,0,28,28,0,0,0,0,8,0,36,0,0,46,0,38,0,0,0,48,0,6,0,38,16,0,0,0,0,0,0,0,0,0,0,0,54,84,0,0,4,0,0,4,0,0,0,0,0,26,30,0,0,0,0,0,0,20,20,62,54,18,0,0,0,18,2,0,0,0,0,0,0,"('69207', 'Feb 15, 2018')"
6,10006,Gia Koka,7JEjEZVhwUXb7aubyKg9BC,ASAP,0.0302,0.634,195485,0.545,0.0,5,0.13,-7.598,0,0.32899999999999996,120.786,4,0.271,42,ASAP,ASAP Gia Koka,51.0,0,0,0,0,0,0,0,0,0,2,0,0,39,15,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,3,0,0,0,24,0,0,0,0,37,0,0,0,0,0,5,0,0,0,2,0,0,0,0,0,13,0,0,0,20,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,18,24,0,0,0,0,0,12,15,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,10,15,0,1,10,0,0,23,0,7,11,26,3,0,0,3,30,0,0,9,0,0,35,0,0,0,0,0,21,0,0,21,0,0,8,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,16,0,56,0,0,0,0,0,0,0,25,0,1,0,0,0,0,0,1,100,0,23,22,0,17,17,5,0,0,0,0,5,0,10,0,0,15,0,28,0,0,0,47,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,15,28,0,0,4,0,0,1,0,0,0,0,43,10,3,0,0,0,0,0,0,8,17,25,45,0,0,0,0,0,0,0,0,0,0,0,0,"('32496', 'Feb 23, 2018')"
7,10007,SNBRN,5EJtRkVgVUfoHL7CuesLKa,Want It,0.00028900000000000003,0.725,190820,0.73,0.821,11,0.0921,-7.159,0,0.0546,122.008,4,0.504,42,Want It,Want It SNBRN,56.0,0,0,4,0,0,0,0,0,0,11,0,0,70,50,0,0,0,8,0,0,35,0,0,0,0,0,0,0,0,11,0,0,0,25,0,0,0,0,64,0,0,0,0,0,14,0,0,0,8,0,0,0,0,14,34,0,0,0,25,0,50,0,0,7,8,4,0,0,0,0,0,0,0,0,34,19,0,0,0,0,0,0,35,0,0,35,0,0,0,0,10,0,0,0,0,0,0,0,23,32,0,5,11,0,0,77,0,22,25,86,7,0,10,0,32,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,7,0,0,0,0,0,35,0,85,0,0,0,0,0,0,0,38,0,5,0,0,0,0,0,13,41,0,20,29,0,0,23,1,0,0,0,0,5,0,20,0,0,38,0,29,49,0,0,49,0,4,0,19,0,0,0,0,0,0,0,0,0,0,0,0,35,32,0,0,17,0,0,7,0,0,0,0,100,0,4,0,0,0,0,0,0,2,20,67,89,0,0,0,0,10,4,0,0,0,0,0,0,"('555054', 'Mar 16, 2018')"
8,10008,Real Imaj,6s4YAxxihX9tZNn2GdOqRP,Tell Me,0.36200000000000004,0.86,216059,0.353,0.00132,10,0.11,-6.9479999999999995,1,0.11900000000000001,129.982,4,0.2,9,Tell Me,Tell Me Real Imaj,1.0,0,0,5,0,0,0,0,0,0,7,0,0,24,17,0,0,0,5,0,0,17,0,0,0,0,9,0,0,0,9,0,0,0,14,0,0,9,0,26,0,0,0,0,0,9,0,0,0,7,0,0,0,0,14,17,0,0,0,15,0,16,0,0,7,8,4,11,0,0,0,0,0,0,0,12,10,0,0,0,0,0,14,14,0,0,19,0,0,0,0,8,0,0,0,0,0,0,0,13,16,0,5,9,0,2,35,0,11,13,100,5,0,6,3,24,0,0,9,0,0,0,8,0,0,0,0,20,0,0,0,0,0,15,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,8,0,0,0,0,6,18,0,39,0,0,0,0,0,0,0,15,0,4,0,0,0,0,0,8,43,0,18,21,18,0,18,2,0,0,0,0,5,0,12,0,0,20,0,18,23,0,0,36,0,11,0,10,0,0,0,0,0,0,0,0,0,0,0,0,13,14,0,0,10,0,0,6,0,0,0,0,63,9,3,0,0,0,0,0,0,4,12,31,40,0,0,0,0,8,6,0,0,0,0,0,0,"('18303', 'Feb 8, 2017')"
9,10009,Skooly,41xZn6P0NJgFwHhjTY0JhN,"Dirty Dawg ""Insane""",0.259,0.807,128627,0.696,0.0,1,0.16699999999999998,-2.602,1,0.11800000000000001,135.017,4,0.685,28,"Dirty Dawg ""Insane""","Dirty Dawg ""Insane"" Skooly",49.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"('448211', 'Feb 6, 2018')"
